,peak,year
0,184.86367482395704,1990
1,186.44140653911958,1991
2,154.51594545501388,1992
3,157.0203854381072,1993
4,192.62863347035753,1994
5,152.5175559747197,1995
6,158.7735989217674,1996
7,159.16954258771693,1997
8,156.18680590778231,1998
9,157.9586114753457,1999
10,155.4311351512441,2000
11,185.52618879412023,2001
12,167.59816597841598,2002
13,155.9222890531333,2003
14,217.92822230036307,2004
15,167.91573988716394,2005
16,168.629232761308,2006
17,154.7405677226106,2007
18,153.9642365899589,2008
19,177.476974510228,2009
20,161.1033334177059,2010
21,155.1846043141087,2011
22,168.21693755841005,2012
23,152.33857276232453,2013
24,156.0158421205973,2014
25,153.23010575603016,2015
26,153.11196069075396,2016
27,167.0451847146529,2017
28,152.41033977513897,2018
29,155.15717485158183,2019
30,163.4336565294567,2020
