,height,year
0,0.023959106242635714,1990
1,0.03136778832867092,1991
2,0.026517513246925483,1992
3,0.03573763560404764,1993
4,0.03819053864266565,1994
5,0.05663314409289694,1995
6,0.03642460717345224,1996
7,0.04268515505031828,1997
8,0.04950980323229488,1998
9,0.042347635670076655,1999
10,0.03617364784424068,2000
11,0.029460109386603674,2001
12,0.0410854371393717,2002
13,0.02926734582838243,2003
14,0.027802109687216865,2004
15,0.024826631362955553,2005
16,0.05359115003865496,2006
17,0.038877627334883404,2007
18,0.023541522156186753,2008
19,0.031412731194496196,2009
20,0.03719329862576481,2010
21,0.040754023104545796,2011
22,0.029604424877653267,2012
23,0.053254638489192006,2013
24,0.056599349430222254,2014
25,0.023765106401760407,2015
26,0.03718816458434776,2016
27,0.022385228382560296,2017
28,0.032846609534936136,2018
29,0.06665614148195806,2019
30,0.0332624324076079,2020
